Sample	Isolate_Name	Subtype	Clade	Passage_History	Location	Host	Collection_Date
EPI4772985	A/South Australia/2529502694/2025	A / H3N2	3C.2a1b.2a.2a.3a.1		Oceania / Australia / South Australia	Human	2025-10-22
EPI4678327	A/South Australia/2524807354/2025	A / H3N2	3C.2a1b.2a.2a.3a.1		Oceania / Australia / South Australia	Human	2025-09-05
EPI4581625	A/South Australia/2509112466/2025	A / H3N2	3C.2a1b.2a.2a.3a.1		Oceania / Australia / South Australia	Human	2025-04-01
EPI4722517	A/Distrito Federal/2581327601/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	South America / Brazil / Distrito Federal / Santa Maria	Human	2025-08-18
EPI4465397	A/Distrito Federal/2511141101/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	South America / Brazil / Distrito Federal	Human	2025-03-18
EPI4320656	A/Distrito Federal/240802002328/2024	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	South America / Brazil / Distrito Federal / Plano Piloto	Human	2024-10-17
EPI4320489	A/Distrito Federal/2442015301/2024	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	South America / Brazil / Distrito Federal / Plano Piloto	Human	2024-10-08
EPI4320297	A/Distrito Federal/2435715302/2024	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	South America / Brazil / Distrito Federal / Paranoa	Human	2024-09-24
EPI4320273	A/Distrito Federal/240802002201/2024	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	South America / Brazil / Distrito Federal / Plano Piloto	Human	2024-09-24
EPI4373732	A/Galicia/GA-CHUAC-405/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	Europe / Spain / Galicia / La Coruna	Human	2025-05-02
EPI4840270	A/Laos/00925-1989/2025	A / H3N2	3C.2a1b.2a.2a.3a.1		"Asia / Lao, People's Democratic Republic / Khoueng Attapu"	Human	2025-09-29
EPI4570755	A/Laos/00819-2942/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	Laos	"Asia / Lao, People's Democratic Republic / Khoueng Xiangkhoang / human"	Human	2025-03-12
EPI4501279	A/Laos/00820-2540/2025	A / H3N2	3C.2a1b.2a.2a.3a.1		"Asia / Lao, People's Democratic Republic / Khoueng Louangnamtha"	Human	2025-04-22
EPI2958310	A/Hubei-Wuhan/73702/2022	A / H3N2	3C.2a1b.2a.1a		Asia / China / Hubei Province / Hubei	Human	2022-07-03
EPI3603279	A/Hawaii-TAMC/327/2024	A / H3N2	3C.2a1b.2a.2a.3a.1		North America / United States / Hawaii / Honolulu County	Human	2024-05-28
EPI3348772	A/Hawaii-TAMC/245/2024	A / H3N2	3C.2a1b.2a.2a.3a.1		North America / United States / Hawaii / Honolulu County / Recent travel to New York within last 21 days	Human	2024-01-16
EPI3342967	A/Hawaii-TAMC/244/2024	A / H3N2	3C.2a1b.2a.2a.3a.1		North America / United States / Hawaii / Honolulu County	Human	2024-01-12
EPI3255595	A/Hawaii-TAMC/228/2023	A / H3N2	3C.2a1b.2a.2a.3a.1		North America / United States / Hawaii / Honolulu County	Human	2023-12-24
EPI2767248	A/Bhutan/FLU-BTD-01352/2022	A / H3N2	3C.2a1b.2a.2a.3	Original	Asia / Bhutan / Punakha	Human	2022-11-21
EPI3844455	A/Malaysia/TIDREC_KBR-AUFI887/2024	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	Asia / Malaysia / Kelantan	Human	2024-09-18
EPI4805964	A/Coban/FLU-379/2025	A / H3N2	3C.2a1b.2a.2a.3a.1		North America / Guatemala / Departamento de Alta Verapaz	Human	2025-10-15
EPI4470505	A/Oman/CPHL_7251923/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	Asia / Oman / NORTH BATINAH	Human	2025-04-16
EPI4212804	A/Oman/CPHL_725768/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	Asia / Oman / AL WUSTA	Human	2025-02-07
EPI4212716	A/Oman/CPHL_725676/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	Asia / Oman / MUSANDAM	Human	2025-02-01
EPI3108795	A/Oman/CPHL_5243374/2024	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	Asia / Oman / DHOFAR	Human	2024-01-26
EPI3108716	A/Oman/CPHL_5241433/2024	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	Asia / Oman / MUSCAT	Human	2024-01-13
EPI1321392	A/Norway/3288/2018	A / H3	3C.2a1b.2	Clinical Specimen	Europe / Norway / Oslo	Human	2018-10-05
EPI2945363	A/Norway/00090/2024	A / H3N2	3C.2a1b.2a.2a.3a.1	Clinical Specimen	Europe / Norway / Innlandet	Human	2024-01-03
EPI4215749	A/Norway/03470/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	Clinical Specimen	Europe / Norway / Agder	Human	2025-03-01
EPI3250112	A/Malaysia/IMR-SARI0557/2024  	A / H3N2	3C.2a1b.2a.2a.3a.1		Asia / Malaysia / Kelantan	Human	2024-03-04
EPI4409964	A/South Africa/NHLS-UCT-CERI-C067959/2025	A / H3N2	3C.2a1b.2a.2a.3a.1		Africa / South Africa / Province of the Western Cape / Cape Town	Human	2025-04-04
EPI3750103	A/Jeonbuk/4055/2024	A / H3N2	3C.2a1b.2a.2a.3a.1	original	"Asia / Korea, Republic of"	Human	2024-07-29
EPI2454946	A/Seoul/761/2023	A / H3N2	3C.2a1b.2a.2a.3a.1	original	"Asia / Korea, Republic of"	Human	2023-02-21
EPI2715257	A/Nepal/432/2023	A / H3N2	3C.2a1b.2a.2a.3a.1		Asia / Nepal / Kirtipur 	Human	2023-03-22
EPI4785679	A/Vietnam/IC.00447/2025	A / H3N2	3C.2a1b.2a.2a.3a.1		Asia / Vietnam / DAK LAK	Human	2025-07-23
EPI2508499	A/Bolzano/19/2023	A / H3N2	3C.2a1b.2a.2b		Europe / Italy / Trentino-Alto Adige / Province of Bolzano-Bozen	Human	2023-01-12
EPI2437503	A/Bolzano/3/2023	A / H3N2	3C.2a1b.2a.2a.1		Europe / Italy / Trentino-Alto Adige / Province of Bolzano-Bozen	Human	2023-01-25
EPI3596231	A/Costa_Rica/INC-0858-829154/2024	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	North America / Costa Rica / Provincia de San Jose / Desamparados	Human	2024-05-05
EPI4866920	A/Costa_Rica/INC-1833-881757/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	North America / Costa Rica / Provincia de Puntarenas / Coto Brus	Human	2025-11-11
EPI4557675	A/Costa_Rica/INC-1337-856543/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	North America / Costa Rica / Provincia de Cartago / Cartago	Human	2025-03-08
EPI4332639	A/Costa_Rica/INC-1025-849695/2024	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	North America / Costa Rica / Provincia de Alajuela / Alajuela	Human	2024-12-10
EPI4752305	A/Uganda/UVRI_KSW8415_2025	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	Africa / Uganda / Kampala	Human	2025-08-12
EPI4937847	A/Uganda/UVRI_TOR4329/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	Africa / Uganda / Tororo District	Human	2025-09-03
EPI2540264	A/Jiangsu-wuxi/0729/2022	A / H3N2	3C.2a1b.2a.1a	C2	Asia / China / Jiangsu Provice / Wuxi	Human	2022-07-12
EPI4528472	A/South Africa/NHLS-SU-CERI-C069370/2025	A / H3N2	3C.2a1b.2a.2a.3a.1		Africa / South Africa / Province of the Western Cape / Cape Town	Human	2025-06-12
EPI4416181	A/South Africa/PATH-CERI-C068465/2025	A / H3N2	3C.2a1b.2a.2a.3a.1		Africa / South Africa / Province of the Western Cape / Hermanus	Human	2025-05-03
EPI4411419	A/South Africa/PATH-CERI-C068167/2025	A / H3N2	3C.2a1b.2a.2a.3a.1		Africa / South Africa / Province of the Western Cape / Cape Town	Human	2025-04-22
EPI4401047	A/South Africa/NHLS-SU-CERI-C067984/2025	A / H3N2	3C.2a1b.2a.2a.3a.1		Africa / South Africa / Province of the Western Cape	Human	2025-04-20
EPI3330529	A/Arizona/ASU107748/2024	A / H3N2	3C.2a1b.2a.2a.3a.1		North America / United States / Arizona / Maricopa County	Human	2024-03-14
EPI2846716	A/shandongrencheng/11172/2022(H3)	A / H3N2	3C.2a1b.2a.1a	c1	Asia / China / Shandong Province	Human	2022-09-14
EPI4751244	A/Peru/LIM-UPCH-5112/2025	A / H3N2	3C.2a1b.2a.2a.3a.1		South America / Peru / Departamento de Lima	Human	2025-08-26
EPI2587971	A/Peru/UPCH_3787/2022	A / H3N2	3C.2a1b.2a.2a.3		South America	Human	2022-06-03
EPI3501027	A/Bangladesh/icddrb-2240410032/2024	A / H3N2	3C.2a1b.2a.2a.3a.1		Asia / Bangladesh / Jashore	Human	2024-04-23
EPI3500991	A/Bangladesh/icddrb-1240412010/2024	A / H3N2	3C.2a1b.2a.2a.3a.1		Asia / Bangladesh / Barishal	Human	2024-04-18
EPI4436587	A/ABUDHABI/UAE/0024921/2025	A / H3N2	3C.2a1b.2a.2a.3a.1		Asia / United Arab Emirates	Human	2024-12-30
EPI4436244	A/ABUDHABI/UAE/0022230/2025	A / H3N2	3C.2a1b.2a.2a.3a.1		Asia / United Arab Emirates	Human	2024-11-24
EPI4435610	A/ABUDHABI/UAE/0018056/2025	A / H3N2	3C.2a1b.2a.2a.3a.1		Asia / United Arab Emirates	Human	2024-10-13
EPI4435037	A/ABUDHABI/UAE/0002049/2025	A / H3N2	3C.2a1b.2a.2a.3a.1		Asia / United Arab Emirates	Human	2025-01-27
EPI4434672	A/ABUDHABI/UAE/0000053/2025	A / H3N2	3C.2a1b.2a.2a.3a.1		Asia / United Arab Emirates	Human	2025-01-02
EPI4422855	A/ABUDHABI/UAE/0003961/2025	A / H3N2	3C.2a1b.2a.2a.3a.1		Asia / United Arab Emirates	Human	2025-02-17
EPI4422635	A/ABUDHABI/UAE/0004813/2025	A / H3N2	3C.2a1b.2a.2a.3a.1		Asia / United Arab Emirates	Human	2025-02-18
EPI4422563	A/ABUDHABI/UAE/0004807/2025	A / H3N2	3C.2a1b.2a.2a.3a.1		Asia / United Arab Emirates	Human	2025-02-17
EPI4422517	A/ABUDHABI/UAE/0004539/2025	A / H3N2	3C.2a1b.2a.2a.3a.1		Asia / United Arab Emirates	Human	2025-02-21
EPI3181367	A/ABUDHABI/UAE/0001435/2023	A / H3N2	3C.2a1b.2a.2a.3a.1		Asia / United Arab Emirates	Human	2023-02-08
EPI2922525	A/ABUDHABI/UAE/0008533/2022	A / H3N2	3C.2a1b.2a.2b		Asia / United Arab Emirates	Human	2022-12-05
EPI2585746	A/ABUDHABI/UAE/0003309/2022	A / H3N2	3C.2a1b.2a.2a.3		Asia / United Arab Emirates	Human	2022-09-27
EPI2500297	A/ABUDHABI/UAE/4002462/2022	A / H3N2	3C.2a1b.2a.2a.3a.1		Asia / United Arab Emirates	Human	2022-06-09
EPI2500293	A/ABUDHABI/UAE/0000479/2022	A / H3N2	3C.2a1b.2a.2b		Asia / United Arab Emirates	Human	2022-07-06
EPI4632557	A/Guatemala/Q000249/2025	A / H3N2	3C.2a1b.2a.2a.3a.1		North America / Guatemala / Departamento de Quetzaltenango / Coatepeque	Human	2025-06-20
EPI4876994	A/England/01875679/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	original	Europe / United Kingdom / CUMBRIA	Human	2025-11-27
EPI4876755	A/England/01875752/2025	A / H3N2	3C.2a1b.2a.2a.3a.1 / K	original	Europe / United Kingdom / WISBECH	Human	2025-11-27
EPI4791291	A/England/01854876/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	original	Europe / United Kingdom / OXFORD	Human	2025-10-21
EPI4298432	A/England/1360730/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	original	Europe / United Kingdom / LONDON	Human	2025-03-23
EPI3767129	A/England/4960585/2024	A / H3N2	3C.2a1b.2a.2a.3a.1	original	Europe / United Kingdom	Human	2024-12-03
EPI3142656	A/England/240760798/2024	A / H3N2	3C.2a1b.2a.2a.3a.1	original	Europe / United Kingdom / MANCHESTER	Human	2024-01-27
EPI2962088	A/England/235180644/2023	A / H3N2	3C.2a1b.2a.2a.3a.1	original	Europe / United Kingdom / SHEFFIELD	Human	2023-12-22
EPI2960954	A/England/235190206/2023	A / H3N2	3C.2a1b.2a.2a.3b	original	Europe / United Kingdom / LEEDS	Human	2023-12-21
EPI2935457	A/England/235090198/2023	A / H3N2	3C.2a1b.2a.2a.3a.1	original	Europe / United Kingdom / LEEDS	Human	2023-12-13
EPI2847774	A/England/234740245/2023	A / H3N2	3C.2a1b.2a.2a.3a.1	original	Europe / United Kingdom / DONCASTER	Human	2023-11-21
EPI2815639	A/England/234600199/2023	A / H3N2	3C.2a1b.2a.2a.3a.1	original	Europe / United Kingdom / DUDLEY	Human	2023-11-09
EPI2794853	A/England/234000309/2023	A / H3N2	3C.2a1b.2a.2a.3a.1	original	Europe / United Kingdom / DONCASTER	Human	2023-09-28
EPI4304669	A/Asturias/232460582/2024	A / H3N2	3C.2a1b.2a.2a.3a.1		Europe / Spain / Principality of Asturias / Asturias	Human	2024-07-30
EPI4861690	A/Bahrain/9835/2025	A / H3N2	3C.2a1b.2a.2a.3a.1 / K		Asia / Bahrain	Human	2025-11-13
EPI4860225	A/Bahrain/0992/2025	A / H3N2	3C.2a1b.2a.2a.3a		Asia / Bahrain	Human	2025-10-28
EPI4774219	A/Bahrain/3296/2025	A / H3N2	3C.2a1b.2a.2a.3a		Asia / Bahrain	Human	2025-08-14
EPI4718398	A/Bahrain/5393/2025	A / H3N2	3C.2a1b.2a.2a.3a.1		Asia / Bahrain	Human	2025-05-12
EPI4385707	A/Bahrain/0382/2025	A / H3N2	3C.2a1b.2a.2a.3a.1		Asia / Bahrain	Human	2025-01-08
EPI4235872	A/Belgium/S3707/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	original	Europe / Belgium	Human	2025-03-03
EPI4419345	A/Coahuila/IBT_IMSS_01040548CIBIN/2022	A / H3N2	3C.2a1b.2a.2a.3	Original	North America / Mexico	Human	2022-12-02
EPI3504673	A/Bahia/293495829/2024	A / H3N2	3C.2a1b.2a.2a.3a.1		South America / Brazil / Estado da Bahia / Alagoinhas	Human	2024-02-27
EPI2185845	A/Bahia/090-292041806/2021	A / H3N2	3C.2a1b.2a.2a.3		South America / Brazil / Estado da Bahia / SERRINHA	Human	2021-12-30
EPI2389518	A/Michigan/HFHSL360185597/2022	A / H3N2	3C.2a1b.2a.2b	ORI	North America / United States	Human	2022-12-08
EPI3861947	A/New York/PX12328/2024	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	North America / United States / New York / New York	Human	2024-12-05
EPI3799954	A/New York/PX10733/2024	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	North America / United States / New York / Queens	Human	2024-09-17
EPI3602355	A/New York/PV154035/2024	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	North America / United States / New York / New York	Human	2024-08-08
EPI3554017	A/New York/PV101050/2024	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	North America / United States / New York / New York	Human	2024-01-08
EPI3553772	A/New York/PV150821/2024	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	North America / United States / New York / New York	Human	2024-02-19
EPI2435845	A/New York/PV81192/2022	A / H3N2	3C.2a1b.2a.2b	Original	North America / United States / New York / New York	Human	2022-11-27
EPI2435837	A/New York/PV81191/2022	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	North America / United States / New York / New York	Human	2022-11-27
EPI2435195	A/New York/PV63080/2022	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	North America / United States / New York / New York	Human	2022-06-13
EPI2435084	A/New York/PV63033/2022	A / H3N2	3C.2a1b.2a.2a.1	Original	North America / United States / New York / The Bronx	Human	2022-05-29
EPI2434373	A/New York/PV60713/2022	A / H3N2	3C.2a1b.2a.2a.1a	Original	North America / United States / New York / New York	Human	2022-04-25
EPI2432276	A/New York/PV03824/2019	A / H3N2	3C.2a1b.2	Original	North America / United States / New York / New York	Human	2019-04
EPI2238943	A/New York/PV60728/2022	A / H3N2	3C.2a1b.2a.2a.1	Original	North America / United States / New York / Suffolk	Human	2022-04-24
EPI2219806	A/New York City/PV02895/2019	A / H3N2	3C.2a1b.2b	Original	North America / United States / New York	Human	2019-02-08
EPI2057808	A/New York/PV42770/2022	A / H3N2	3C.2a1b.2a.2a.3	Original	North America / United States / New York / New York	Human	2022-04-02
EPI4698923	A/Sao Paulo/LEIAL6200/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	South America / Brazil / Estado de Sao Paulo / Sao Paulo	Human	2025-07-21
EPI3810485	A/Brazil/SP-LEIAL4033/2024	A / H3N2	3C.2a1b.2a.2a.3a.1		South America / Brazil / Estado de Sao Paulo / Sao Paulo	Human	2024-12-06
EPI3644157	A/Sao Paulo/IAL/357893264/2024	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	South America / Brazil / Estado de Sao Paulo / Sao Paulo	Human	2024-08-12
EPI2586144	A/Peru/CNR-HCL023026614401/2022	A / H3N2	3C.2a1b.2a.2a.3		South America / Peru / Departamento de Lima	Human	2022-11-19
EPI4913152	A/France/ARA-HCL025194779301/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	Europe / France / Auvergne-Rhone-Alpes	Human	2025-12-03
EPI4743841	A/France/ARA-RELAB-HCL025153843201/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	Europe / France / Auvergne-Rhone-Alpes	Human	2025-09-18
EPI4723260	A/France/NAQ-RELAB-HCL025144128501/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	Europe / France / Nouvelle-Aquitaine	Human	2025-09-02
EPI4648234	A/France/ARA-HCL025131788401/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	Europe / France / Auvergne-Rhone-Alpes	Human	2025-02-20
EPI4537509	A/France/ARA-HCL021212645001/2021	A / H3N2	3C.2a1b.2a.2a.1	Original	Europe / France / Auvergne-Rhone-Alpes	Human	2021-11-30
EPI4334567	A/France/ARA-RELAB-HCL025068424901/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	Europe / France / Auvergne-Rhone-Alpes	Human	2025-04-10
EPI4289249	A/France/ARA-HCL022213790301/2022	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	Europe / France / Auvergne-Rhone-Alpes	Human	2022-12-21
EPI4214727	A/France/PAC-RELAB-HCL025038928301/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	Europe / France / Provence-Alpes-Cote d'Azur	Human	2025-02-12
EPI4210807	A/France/OCC-HCL025029269601/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	Europe / France / Occitanie	Human	2025-02-12
EPI4122019	A/France/PAC-RELAB-HCL025039386301/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	Europe / France / Provence-Alpes-Cote d'Azur	Human	2025-02-28
EPI3744723	A/France/ARA-RELAB-HCL024195687601/2024	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	Europe / France / Auvergne-Rhone-Alpes	Human	2024-12-06
EPI3626603	A/France/ARA-RELAB-HCL024162110901/2024	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	Europe / France / Auvergne-Rhone-Alpes	Human	2024-10-10
